AssetIDNo,Building,CSI,CSI Div,CSIDiv,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,Unnamed: 60,sheet
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Substation??,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Elec outlets / power outlets,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,?,No,,,,,,,,,,,TBD,TBD,No,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Wall Switch,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,?,No,,,,,,,,,,,TBD,TBD,OK,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Cert of Compliance - Indoor Lighting (see 04-110817 E Sheets),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,?,No,,,,,,,,,,,TBD,TBD,No,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Cert of Compliance - Outdoor Lighting (see 04-110817 E Sheets),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,?,No,,,,,,,,,,,TBD,TBD,No,,,,,,11220
,Voc Tech,26-Electrical,,26,MSB,City,,,,,,,,,,,,TBD,,,,,Site,24.0,,Main Switchboard,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,Site,(south),,,,E1.1; E6.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,Site,24.0,,Fuse Cabinet,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,Site,(east),,,,E1.1; E6.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,Site,24.0,,Transformer,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,Site,(northwest),,,,E1.1; E6.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,14,City,,,,,,,,,,,,TBD,,,,,Site,24.0,,PV System Disconnect (Solar),,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,Site,(south),,,,E1.1; E6.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,14,City,,,,,,,,,,,,TBD,,,,,Site,24.0,,PV System Disconnect (Solar),,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,Site,(south),,,,E1.1,,,,,,TBD,Yes,,,,,,11220
