AssetIDNo,Building,CSI,CSI Div,CSIDiv,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,sheet
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Toilet & Urinal Compartments / Bathroom Stalls,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,Restroom,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Baby Changing Apparatus in Bathroom,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,Restroom,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: ADA Bathroom Grab Bars,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,Restroom,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Bathroom trash can (recessed),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,Restroom,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Mirror,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,Restroom,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Tack Board - small,Yes,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: White Boards - small,Yes,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,Yes,No,,TBD,TBD,,,,,,24.0,,Category: Fire Extinguishers /FE Cabinets,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Modular Office Walls,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Fire Curtain / Fire Wall,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Defibrillator Cabinets,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Display Case (i.e. Recessed Display Case / Lockable),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,Yes,,TBD,TBD,,,,,,24.0,,Category: Operable Wall,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Signage - Egress,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Tack Board - large,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: White Boards - large,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,?,No,,TBD,TBD,,,,,,24.0,,Category: Parking Signage (incl ADA),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,?,No,,TBD,TBD,,,,,,24.0,,Category: Emergency Key Cabinets (i.e. Knox-Box),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Corner Guard / Wall Guard,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Locker room benches,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Signage - Directional,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
