P,Campus,Proj #,Project Description,DSA_Cert,DSA_Cert_Count,LEED Cert Recd?,Photos in SP?,GIS Updated?,Minutes on File?,Soils Report on File?,Record Dwgs on File?,BIM on file?,Commissioning Report on File?,DSA #,LEED Cert Target,LEED Cert Received Year,LEED Documentation Letter/Plaque Up?,# Photos in SP,Minutes CM13 vs SP,,Labor Warranties Filed / Logged?,Equip O&M's and Warranties Filed / Logged?,Hard-Copy O&M / Warranty Locations,Record BIM Model Received?,Record As-Builts Doc's Logged (w/ specs),Hard-Copy Record/As-Built Location,COBiE Info Captured?,CM13 Contracts in SharePoint,CM13 CO's in SharePoint,CO's + CCD's in SharePoint,Evidence of Scope Changes to DSA,Minutes in SharePoint (move from CM13??),Photos in SharePoint,Have Items Been transferred to Facilities EDMS,IOR (and DSABox) records in SP,All NOC's in SP (and final releases?),Financial Close-out?,Lessons Learned?,"Maint info ID'd (ie Perm BMPs, SF)",Incorporated into Campus Security Plan,RFIs (move from CM13 to SP?),Submittals?,Project Budget,,Construction Complete?,Date Construction Complete,,S - Ballot Reference #,N - Ballot Reference #,On Both Ballots,,,Proj #
N,Miramar,13430,Heavy Duty Advanced Transportation Technology Center,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-110830,Silver,13-Oct,,,,,,,Miramar: 15,,,Miramar-021; 024-025; 042-043; 045-052,,,,,,,,,,,,,,,,,"$14,371,928 ",1,Yes,May-13 A,1,N/A,N.III.2,,,,13430
N,Miramar,13540,Parking Structure #1 & Police/Emergency Center,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-110712,Platinum,12-Apr,,,,,,,"Miramar: 1, 6",,,Miramar-016,,,,,,,,,,,,,,,,,"$15,998,765 ",1,Yes,Oct-11 A,1,N/A,N.IV.3; N.IV.5,,,,13540
N,Miramar,13550,Campus Safety Enhancements,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$446,356 ",1,Yes,Jun-15 A,1,N/A,N.IV.6,,,,13550
N,Miramar,13630,College Service Center,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-11520,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,938,078 ",1,Yes,Jul-12 A,1,N/A,N/A,,1,,13630
N,Miramar,13650,Expansion of Maintenance Facilities,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,NOT LEED,NOT LEED,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,621,536 ",1,Construction,16-Jul,,N/A,N.IV.4,,,,13650
N,Miramar,13670,Administration Building,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112383,Gold,15-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,400,000 ",1,Yes,Jul-14 A,1,N/A,N/A,,1,,13670
N,Miramar,13680,Remodel A-100 Building (CE Classrooms),No,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-113249,Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,600,000 ",1,Design/Bid,17-Jan,,N/A,N/A,,1,,13680
N,Miramar,13690,Fire Science and EMT Training Facility,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112341,Silver,,,,,,,,,,,Miramar-009,,,,,,,,,,,,,,,,,"$16,333,000 ",1,Yes,Jul-14 A,1,S.III.1,N.I.1,x,,,13690
N,CE,14120,Clairemont/Linda Vista - Land Acquisition & Building (Land $1.8M),N/A,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,Silver,13-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,396,070 ",,Yes,Oct-12 A,,N/A,N.I.1,,,,14120
N,CE,14220,Educational Cultural Complex - Phase IIB Wing,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-111330,Silver,14-Nov,,,,,,,"CE: 8, 9",,,CE-012; 014-015,,,,,,,,,,,,,,,,,"$18,686,945 ",1,Yes,Aug-13 A,1,N/A,N.II.1,,,,14220
N,District,15210,Prop N Program Management,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$51,027,440 ",,N/A,N/A,,N/A,,,,,15210
N,Reserve,15220,Proposition N Reserve,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$12,611,667 ",,Reserve,N/A,,N/A,N/A,,,,15220
N,Mesa,123***,Infrastructure - Fire Lane/Central Plant/IT,No,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112591; 04-112720; 04-113173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,568,549 ",1,Ongoing,18-Oct,,N/A,N.III,,,,123***
N,Miramar,135**,Infrastructure - Phase II,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,843,305 ",1,Ongoing,18-Jul,,N/A,N.V.1,x,,,135**
